artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,country,continent,popularity
Farruko,La 167,Pepas,2B4GHvToeLTOBB4QLzW3Ni,0.762,0.766,7,-3.955,1,0.0343,6.98e-05,0.128,0.442,130.001,287120,4,ARG,SOUTH-AM,86.0
La K'onga,Universo Paralelo,Te Mentiría,3EcCc1U405tm8yKm1x6Y8W,0.651,0.731,7,-6.889,1,0.0549,0.0,0.0708,0.653,153.104,218431,4,ARG,SOUTH-AM,68.0
Rvssian,Nostálgico,Nostálgico,2BEcap3xJtmiPaHKyfQi4e,0.734,0.846,9,-3.425,0,0.0489,1.74e-06,0.235,0.604,98.026,209884,4,ARG,SOUTH-AM,90.0
Duki,Temporada de Reggaetón,Unfollow,1rxX4SkYDqluMJcYSijMSH,0.818,0.648,2,-3.847,0,0.131,1.01e-05,0.177,0.713,92.019,196727,4,ARG,SOUTH-AM,72.0
Marama,Ya No Llora,Ya No Llora,6aMgqUHmyLs5vnyaV98HID,0.685,0.725,1,-5.523,0,0.104,0.0,0.0857,0.463,140.816,120638,3,ARG,SOUTH-AM,76.0
Bad Bunny,Yonaguni,Yonaguni,2JPLbjOn0wPCngEot2STUS,0.644,0.648,1,-4.601,1,0.118,0.0,0.135,0.44,179.951,206710,4,ARG,SOUTH-AM,94.0
Jona Mix,Cosas Malas (Remix),Cosas Malas - Remix,7hiAGGyiLaLBTVroaE08hx,0.713,0.62,1,-7.273,1,0.111,0.0,0.255,0.939,102.021,179308,4,ARG,SOUTH-AM,75.0
Reik,Los Tragos,Los Tragos,7iXJg4IUyrWont5YSQrbKP,0.557,0.7,7,-5.024,1,0.0638,1.11e-06,0.161,0.681,93.9,171001,4,ARG,SOUTH-AM,81.0
Tainy,Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),4gzsuuZypVbxs0Af1LSZyB,0.639,0.703,4,-6.33,0,0.0794,1.78e-06,0.0865,0.138,169.888,207301,4,ARG,SOUTH-AM,93.0
EL NOBA,Tamo Chelo,Tamo Chelo,1Hv5uEwnI5UQEFvHWJaL3T,0.793,0.659,11,-4.39,0,0.238,0.0,0.106,0.781,176.094,112507,4,ARG,SOUTH-AM,73.0
Ke Personajes,Si No Te Tengo / Ángel / Aquello Que Pasó,Si No Te Tengo / Ángel / Aquello Que Pasó,1fKFxmSByZfjwVSbq0PHye,0.419,0.711,11,-4.083,0,0.0488,0.0,0.243,0.529,82.18,428439,4,ARG,SOUTH-AM,72.0
Rauw Alejandro,VICE VERSA,Cúrame,1FlL8ycld6uVDDyhV7P5FA,0.765,0.625,9,-3.599,0,0.0548,0.00111,0.112,0.262,102.101,164706,4,ARG,SOUTH-AM,85.0
Bizarrap,Pinta,Pinta,7nXutPtu8epp2VJ300iN2A,0.733,0.896,9,-3.25,1,0.157,0.0,0.0671,0.941,88.059,177950,4,ARG,SOUTH-AM,70.0
The Kid LAROI,F*CK LOVE 3: OVER YOU,STAY (with Justin Bieber),5PjdY0CKGZdEuoNab3yDmX,0.591,0.764,1,-5.484,1,0.0483,0.0,0.103,0.478,169.928,141806,4,AUS,AUS/OZEA,92.0
Elton John,The Lockdown Sessions,Cold Heart - PNAU Remix,7rglLriMNBPAyuJOMGwi39,0.795,0.8,1,-6.32,1,0.0309,7.25e-05,0.0915,0.934,116.032,202735,4,AUS,AUS/OZEA,79.0
Glass Animals,Dreamland (+ Bonus Levels),Heat Waves,02MWAaffLxlfxAUY7c5dvx,0.761,0.525,11,-6.9,1,0.0944,6.7e-06,0.0921,0.531,80.87,238805,4,AUS,AUS/OZEA,93.0
Lil Nas X,MONTERO,INDUSTRY BABY (feat. Jack Harlow),5Z9KJZvQzH6PFmb8SNkxuk,0.741,0.691,10,-7.395,0,0.0672,0.0,0.0476,0.892,150.087,212353,4,AUS,AUS/OZEA,90.0
GAYLE,abcdefu,abcdefu,4fouWK6XVHhzl78KzQ1UjL,0.695,0.54,4,-5.692,1,0.0493,0.0,0.367,0.415,121.932,168602,4,AUS,AUS/OZEA,100.0
Olivia Rodrigo,SOUR,good 4 u,4ZtFanR9U6ndgddUvNcjcG,0.563,0.664,9,-5.044,1,0.154,0.0,0.0849,0.688,166.928,178147,4,AUS,AUS/OZEA,95.0
ACRAZE,Do It To It,Do It To It,20on25jryn53hWghthWWW3,0.854,0.806,11,-8.262,0,0.0886,0.0542,0.0703,0.637,124.927,157890,4,AUS,AUS/OZEA,96.0
Luude,Down Under (feat. Colin Hay),Down Under (feat. Colin Hay),7AVyve7cFYTd51ha5i9kE2,0.308,0.861,11,-4.112,0,0.172,0.00103,0.277,0.0386,171.966,158774,4,AUS,AUS/OZEA,84.0
Lin-Manuel Miranda,Encanto (Original Motion Picture Soundtrack),We Don't Talk About Bruno,52xJxFP6TqMuO4Yt0eOkMz,0.577,0.45,0,-8.516,0,0.0834,0.0,0.111,0.83,205.863,216120,4,AUS,AUS/OZEA,95.0
Ed Sheeran,=,Shivers,50nfwKoDiSYg8zOCREWAm5,0.788,0.859,2,-2.724,1,0.0856,0.0,0.0424,0.822,141.02,207853,4,AUS,AUS/OZEA,95.0
Lost Frequencies,Where Are You Now,Where Are You Now,3uUuGVFu1V7jTQL60S1r8z,0.671,0.636,6,-8.117,0,0.103,0.000411,0.172,0.262,120.966,148197,4,AUS,AUS/OZEA,94.0
Adele,30,Easy On Me,46IZ0fSY2mpAiktS3KOqds,0.604,0.366,5,-7.519,1,0.0282,0.0,0.133,0.13,141.981,224695,4,AUS,AUS/OZEA,91.0
Ed Sheeran,=,Bad Habits,3rmo8F54jFF8OgYsqTxm5d,0.807,0.893,11,-3.745,0,0.0347,2.79e-05,0.366,0.537,126.011,230747,4,AUS,AUS/OZEA,95.0
Doja Cat,Planet Her,Kiss Me More (feat. SZA),3DarAbFujv6eYNliUTyqtz,0.764,0.705,8,-3.463,1,0.0284,8.92e-05,0.12,0.781,110.97,208667,4,AUS,AUS/OZEA,88.0
Justin Bieber,Justice,Ghost,6I3mqTwhRpn34SLVafSH7G,0.601,0.741,2,-5.569,1,0.0478,2.91e-05,0.415,0.441,153.96,153190,4,AUS,AUS/OZEA,91.0
The Wiggles,Elephant (triple j Like A Version),Elephant - triple j Like A Version,1RXSH93AvEfs2ck4nfTSRm,0.513,0.643,9,-8.656,0,0.0298,0.0283,0.164,0.929,127.887,202293,4,AUS,AUS/OZEA,64.0
Lauren Spencer-Smith,Fingers Crossed,Fingers Crossed,5S9Zs5g9lTWnLIboN1pdlU,0.603,0.473,5,-7.23,1,0.0511,0.0,0.31,0.446,109.494,175345,4,AUS,AUS/OZEA,92.0
Lil Nas X,MONTERO,THATS WHAT I WANT,0e8nrvls4Qqv5Rfa2UhqmO,0.737,0.846,1,-4.51,0,0.22,0.0,0.0486,0.546,87.981,143901,4,AUS,AUS/OZEA,93.0
